age,gender,knowent,opport,suskill,fearfail,bstart,exreason,nbmedia,nbstatus,discent
45,2,2,2,2,2,1,8,2,2,1
28,2,2,1,2,1,1,0,2,2,0
36,2,1,2,2,1,1,0,2,2,0
60,2,2,2,2,2,1,0,2,2,0
31,2,1,2,2,2,1,0,2,2,0
23,1,1,2,2,2,1,0,1,2,0
28,2,2,2,2,2,2,5,2,2,1
44,1,2,1,2,2,1,0,1,2,0
99,1,2,2,2,1,2,0,2,1,0
32,1,2,2,2,1,1,0,2,2,0
30,2,2,2,2,1,1,0,2,2,0
43,2,1,2,2,1,2,0,2,2,0
50,2,2,2,2,1,2,0,2,1,0
29,2,2,2,1,1,2,0,2,2,0
39,1,2,2,2,1,2,0,2,1,0
40,2,2,2,1,1,2,0,2,2,0
28,2,2,2,2,1,1,5,2,1,1
26,2,2,1,2,1,1,4,2,2,1
48,2,2,1,2,1,1,0,2,2,0
52,2,2,1,2,2,1,0,2,2,0
20,2,2,2,2,2,2,0,2,2,0
48,2,2,2,2,1,1,0,2,2,0
48,2,2,2,2,2,1,0,2,2,0
32,2,2,2,2,1,1,0,2,2,0
32,2,2,2,2,1,2,2,2,2,1
32,2,2,2,1,1,2,0,2,2,0
41,1,2,2,1,1,1,0,2,2,0
38,1,2,2,2,1,1,0,2,2,0
44,2,2,1,2,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
42,2,2,2,2,1,1,0,2,2,0
58,2,2,2,1,1,1,0,2,2,0
46,2,2,2,2,2,1,0,2,2,0
40,1,2,2,2,1,1,0,2,1,0
30,2,2,2,1,2,1,0,2,1,0
48,2,2,1,2,2,1,0,2,2,0
28,1,2,2,2,1,1,0,2,2,0
48,1,1,1,2,2,1,0,2,1,0
45,2,2,2,2,1,1,4,2,2,1
53,2,2,1,1,1,1,0,2,2,0
41,2,2,1,2,1,1,0,2,2,0
42,2,1,1,2,1,1,0,2,2,0
40,2,2,1,2,1,1,0,2,2,0
36,2,2,1,2,1,1,0,2,2,0
35,1,2,1,1,1,1,0,2,2,0
26,2,2,1,2,1,1,0,2,2,0
23,2,2,1,1,1,1,0,2,2,0
24,2,2,2,2,1,1,0,2,2,0
34,2,1,1,2,1,1,0,2,2,0
33,2,2,1,2,1,1,0,2,2,0
36,2,2,1,2,1,1,0,2,2,0
45,2,2,1,2,1,1,0,2,2,0
30,2,2,1,2,1,1,0,2,2,0
24,2,2,1,1,1,1,0,2,2,0
30,2,2,1,2,1,1,0,2,2,0
25,2,1,1,1,1,1,0,2,2,0
42,2,1,1,2,1,1,0,2,2,0
33,2,2,2,2,1,2,0,2,2,0
50,2,2,1,2,1,1,0,2,2,0
42,2,1,1,2,1,1,0,2,2,0
27,2,2,1,2,1,2,0,1,1,0
37,2,2,1,2,1,1,0,2,2,0
31,2,2,2,2,1,1,0,2,2,0
35,2,2,2,2,1,1,4,2,2,1
38,1,2,2,2,1,1,0,1,1,0
34,1,2,2,2,1,1,4,2,2,1
31,2,2,2,2,2,1,4,2,1,1
41,2,1,2,2,1,1,0,2,1,0
33,1,2,2,1,1,1,0,2,1,0
34,1,1,2,1,1,1,0,2,2,0
40,1,2,2,1,1,1,0,2,2,0
33,2,2,2,2,1,1,0,2,2,0
30,2,2,2,2,2,1,0,2,1,0
61,2,2,1,2,1,1,0,2,2,0
36,2,2,1,2,1,1,0,2,2,0
25,2,1,2,2,1,1,2,2,2,1
45,2,2,2,1,1,1,0,2,2,0
31,2,1,2,2,1,1,0,2,2,0
40,2,2,2,2,1,1,0,2,1,0
32,1,2,2,2,2,1,0,2,2,0
38,2,2,2,2,2,1,0,2,2,0
32,2,2,2,2,1,1,0,2,1,0
42,2,2,1,2,1,1,2,2,1,1
33,2,2,2,2,1,1,0,2,2,0
21,2,2,2,2,1,1,0,2,2,0
42,2,2,2,2,1,1,0,2,1,0
